leg_id,system,mode,cutoff_ps,t_start_ps,t_end_ps,production_origin_ps,production_elapsed_ns,nrep,dG_kcal,dG_err_kcal,replica_ns_elapsed,replica_ns_nominal,source_csv,source_log
75220a28e44f5978,1CHO,complex,2000,1050.0,2000.0,100,1.9,32,18.660336291843397,0.2479023902550774,60.8,64.0,source_data/budget/legs/75220a28e44f5978/bar_time_series.csv,source_data/budget/legs/75220a28e44f5978/bar1.log
75220a28e44f5978,1CHO,complex,4000,2050.0,4000.0,100,3.9,32,18.538326737182796,0.1144947582895405,124.8,128.0,source_data/budget/legs/75220a28e44f5978/bar_time_series.csv,source_data/budget/legs/75220a28e44f5978/bar1.log
a2804a44a6589c04,1CHO,partner2,1000,550.0,1000.0,100,0.9,32,17.601015315866395,0.1312865926512486,28.8,32.0,source_data/budget/legs/a2804a44a6589c04/bar_time_series.csv,source_data/budget/legs/a2804a44a6589c04/bar1.log
a2804a44a6589c04,1CHO,partner2,2000,1050.0,2000.0,100,1.9,32,18.026410824575205,0.1655972302110182,60.8,64.0,source_data/budget/legs/a2804a44a6589c04/bar_time_series.csv,source_data/budget/legs/a2804a44a6589c04/bar1.log
a2804a44a6589c04,1CHO,partner2,4000,2050.0,4000.0,100,3.9,32,17.44285173853638,0.0591595488276077,124.8,128.0,source_data/budget/legs/a2804a44a6589c04/bar_time_series.csv,source_data/budget/legs/a2804a44a6589c04/bar1.log
c3ec3bf07d83e5d0,1CHO,complex,1000,550.0,1000.0,100,0.9,64,-82.92050083062398,0.2632860440920507,57.6,64.0,source_data/budget/legs/c3ec3bf07d83e5d0/bar_time_series.csv,source_data/budget/legs/c3ec3bf07d83e5d0/bar1.log
c3ec3bf07d83e5d0,1CHO,complex,2000,1050.0,2000.0,100,1.9,64,-82.99901394002413,0.1534532404005378,121.6,128.0,source_data/budget/legs/c3ec3bf07d83e5d0/bar_time_series.csv,source_data/budget/legs/c3ec3bf07d83e5d0/bar1.log
c3ec3bf07d83e5d0,1CHO,complex,4000,2050.0,4000.0,100,3.9,64,-82.24638316004322,0.1650061838730732,249.6,256.0,source_data/budget/legs/c3ec3bf07d83e5d0/bar_time_series.csv,source_data/budget/legs/c3ec3bf07d83e5d0/bar1.log
556ad957348f4a37,1CHO,partner2,1000,550.0,1000.0,100,0.9,64,-85.24691608746018,0.1243844047029405,57.6,64.0,source_data/budget/legs/556ad957348f4a37/bar_time_series.csv,source_data/budget/legs/556ad957348f4a37/bar1.log
556ad957348f4a37,1CHO,partner2,2000,1050.0,2000.0,100,1.9,64,-84.65170384507098,0.2246651716167036,121.6,128.0,source_data/budget/legs/556ad957348f4a37/bar_time_series.csv,source_data/budget/legs/556ad957348f4a37/bar1.log
556ad957348f4a37,1CHO,partner2,4000,2050.0,4000.0,100,3.9,64,-84.74808273333228,0.1480630777881953,249.6,256.0,source_data/budget/legs/556ad957348f4a37/bar_time_series.csv,source_data/budget/legs/556ad957348f4a37/bar1.log
9a3a0d5d6b89d9cd,1CHO,complex,1000,550.0,1000.0,100,0.9,64,-81.22515252220701,0.2048350132209526,57.6,64.0,source_data/budget/legs/9a3a0d5d6b89d9cd/bar_time_series.csv,source_data/budget/legs/9a3a0d5d6b89d9cd/bar1.log
9a3a0d5d6b89d9cd,1CHO,complex,2000,1050.0,2000.0,100,1.9,64,-80.68848402848934,0.2332268761877985,121.6,128.0,source_data/budget/legs/9a3a0d5d6b89d9cd/bar_time_series.csv,source_data/budget/legs/9a3a0d5d6b89d9cd/bar1.log
